Hours_Studied,Attendance(%),Previous_Scores,Parental_Education_Level,Gender,Exam_Score
15,93,86,College,Male,66
17,65,62,High School,Female,63
14,94,85,High School,Female,66
21,96,100,College,Female,73
30,98,93,High School,Male,88
22,76,82,High School,Male,67
18,69,97,College,Female,69
18,75,100,High School,Female,67
11,73,79,High School,Male,64
25,67,64,High School,Male,64
20,84,96,High School,Male,65
19,79,92,High School,Male,68
39,95,54,High School,Male,77
22,61,97,High School,Male,63
15,86,68,College,Male,69
17,91,66,College,Male,69
27,90,67,Postgraduate,Male,70
21,95,66,College,Male,73
11,89,76,Postgraduate,Male,66
26,97,79,High School,Female,71
16,73,71,College,Male,66
31,80,71,High School,Female,71
26,61,87,High School,Male,66
17,60,50,High School,Female,63
28,70,97,High School,Male,70
20,64,86,Postgraduate,Male,66
25,70,85,High School,Male,66
23,67,71,College,Female,66
15,61,98,High School,Male,62
16,96,50,College,Male,69
26,60,54,Postgraduate,Male,63
18,89,90,Postgraduate,Female,68
18,66,87,High School,Male,64
14,96,64,Postgraduate,Male,69
23,96,80,High School,Male,71
32,86,77,High School,Male,71
14,87,76,College,Female,66
20,60,80,College,Male,63
28,99,100,High School,Male,72
20,95,99,College,Female,70
23,96,99,College,Female,71
14,86,77,High School,Male,65
23,74,66,Postgraduate,Female,65
19,96,78,High School,Male,67
26,72,81,High School,Male,68
27,83,66,College,Female,70
36,64,82,High School,Female,70
23,97,81,High School,Male,72
22,66,95,College,Male,65
21,69,62,High School,Male,65
18,82,85,Postgraduate,Male,71
22,91,73,Postgraduate,Male,74
18,85,56,High School,Male,64
21,69,66,High School,Female,64
28,60,53,High School,Female,65
14,90,66,College,Male,67
27,99,53,College,Male,73
28,92,96,College,Male,72
19,78,55,College,Male,65
7,96,91,College,Male,67
16,76,95,High School,Female,66
28,81,73,Postgraduate,Male,70
20,79,53,High School,Female,66
14,78,80,High School,Female,66
17,91,62,Postgraduate,Male,68
25,81,59,College,Male,68
23,73,78,High School,Female,67
19,70,68,College,Female,65
18,62,87,College,Female,64
18,83,80,College,Male,70
14,69,91,College,Male,63
30,66,53,High School,Male,65
18,86,62,Postgraduate,Female,67
27,87,78,High School,Female,71
29,90,94,High School,Female,73
26,80,91,High School,Male,67
17,96,84,College,Female,72
22,97,79,High School,Male,71
20,92,82,Postgraduate,Male,72
15,85,61,High School,Male,68
22,72,80,College,Female,65
13,99,75,College,Female,68
27,71,69,College,Male,67
17,68,94,College,Female,66
21,78,91,High School,Male,64
22,62,54,Postgraduate,Male,65
18,99,99,High School,Male,69
24,84,61,High School,Male,68
17,82,61,Postgraduate,Male,69
25,86,97,High School,Male,70
12,80,72,High School,Female,65
21,61,90,High School,Male,63
32,84,64,College,Female,71
14,89,94,Postgraduate,Male,68
16,77,92,Postgraduate,Female,70
23,90,76,High School,Female,72
21,69,85,College,Female,64
22,69,98,Postgraduate,Male,64
23,66,73,College,Female,66
24,75,75,College,Male,69
27,94,86,High School,Female,71
22,93,69,High School,Male,69
19,75,98,Postgraduate,Male,67
24,84,52,High School,Male,66
31,89,70,High School,Female,71
19,70,86,High School,Male,63
14,67,71,College,Female,62
27,99,63,High School,Female,73
19,85,71,High School,Female,66
7,99,94,Postgraduate,Male,72
25,74,77,Postgraduate,Female,67
17,88,67,Postgraduate,Male,65
19,69,84,High School,Male,66
22,70,81,Postgraduate,Female,68
21,80,78,High School,Female,69
24,73,70,Postgraduate,Female,68
17,67,54,High School,Male,61
23,71,81,High School,Male,68
18,61,71,College,Male,64
24,88,71,College,Male,67
24,80,62,High School,Male,68
14,64,62,High School,Male,61
27,67,89,Postgraduate,Female,66
17,64,74,Postgraduate,Female,64
25,85,55,High School,Female,67
22,64,52,College,Female,64
31,90,61,High School,Male,72
19,61,74,Postgraduate,Male,62
18,70,81,High School,Female,63
20,96,57,High School,Male,70
18,89,72,College,Male,69
25,63,54,High School,Male,64
10,93,52,Postgraduate,Male,66
14,80,93,High School,Female,67
14,94,83,Postgraduate,Female,71
26,84,89,High School,Female,70
30,87,59,High School,Male,69
19,100,66,,Male,68
19,69,72,College,Female,64
20,85,83,College,Male,70
27,78,77,Postgraduate,Male,69
14,62,78,College,Female,63
21,61,58,High School,Female,60
26,65,74,High School,Female,65
23,86,91,High School,Male,67
21,83,75,College,Male,66
26,82,60,Postgraduate,Female,68
4,61,71,Postgraduate,Male,58
24,79,88,High School,Female,67
16,97,57,,Male,68
9,76,79,High School,Female,62
23,85,98,Postgraduate,Female,69
28,91,69,High School,Male,73
19,91,52,High School,Male,66
26,81,82,Postgraduate,Female,67
30,94,52,High School,Female,71
28,76,60,High School,Male,66
30,96,52,College,Female,74
24,70,59,High School,Male,67
20,71,93,Postgraduate,Male,68
10,62,87,High School,Male,61
19,92,67,High School,Female,69
15,77,95,High School,Male,65
33,69,83,Postgraduate,Male,71
19,69,72,High School,Female,61
21,96,53,College,Male,70
23,93,87,High School,Male,70
20,82,69,College,Male,69
30,85,65,High School,Female,70
16,79,64,College,Male,67
21,76,50,Postgraduate,Female,63
16,97,87,High School,Female,70
12,65,57,High School,Female,61
16,77,76,Postgraduate,Female,64
20,74,51,College,Male,65
17,80,81,College,Male,65
16,78,68,Postgraduate,Female,66
12,81,82,High School,Female,66
20,66,54,Postgraduate,Male,63
11,81,63,Postgraduate,Male,66
25,70,56,High School,Male,64
20,67,82,High School,Male,65
11,63,55,Postgraduate,Male,62
18,91,81,High School,Male,71
15,77,57,College,Male,63
22,85,97,College,Male,70
28,89,71,College,Male,70
9,87,56,College,Female,65
21,79,52,High School,Female,66
19,76,66,College,Female,66
24,75,95,College,Male,68
21,86,57,High School,Male,68
15,80,90,High School,Female,69
18,94,71,College,Female,71
15,95,90,Postgraduate,Male,69
26,67,94,College,Male,68
20,65,100,High School,Male,67
31,85,53,High School,Male,72
20,72,90,High School,Male,68
16,61,53,High School,Female,60
11,96,66,High School,Male,68
9,69,82,High School,Female,65
10,97,72,Postgraduate,Female,67
22,89,78,High School,Female,70
23,91,98,High School,Female,70
11,68,91,College,Female,61
25,69,68,College,Male,68
17,81,80,Postgraduate,Female,67
21,67,52,High School,Female,62
30,72,73,High School,Male,66
25,73,80,High School,Female,69
18,66,86,College,Female,66
15,68,95,College,Female,64
7,92,64,Postgraduate,Male,66
16,67,95,High School,Male,63
19,61,83,High School,Male,62
14,85,54,Postgraduate,Male,65
19,99,69,High School,Male,68
20,73,74,High School,Male,65
19,65,68,College,Female,63
16,83,56,High School,Male,68
21,96,78,High School,Male,72
23,91,57,High School,Male,69
13,85,96,Postgraduate,Male,66
28,73,93,College,Male,68
19,82,74,High School,Male,64
20,64,53,High School,Male,61
24,87,78,Postgraduate,Male,67
21,89,80,Postgraduate,Male,68
26,99,94,High School,Male,74
22,70,53,High School,Female,67
16,61,85,High School,Male,64
22,82,78,High School,Male,69
13,88,59,High School,Female,63
21,92,56,High School,Female,67
20,68,85,College,Male,65
19,70,67,Postgraduate,Female,67
19,81,100,Postgraduate,Female,68
9,73,95,Postgraduate,Male,62
17,94,78,College,Female,70
21,79,82,High School,Female,67
21,92,58,High School,Female,89
14,83,95,High School,Female,65
28,91,73,High School,Female,69
15,73,76,High School,Female,64
26,93,94,High School,Female,74
23,71,50,High School,Female,64
16,82,75,Postgraduate,Female,64
31,69,81,College,Male,67
13,79,58,College,Male,63
26,73,53,High School,Female,68
26,71,77,Postgraduate,Male,66
16,99,77,High School,Female,68
28,66,67,Postgraduate,Female,68
18,91,94,High School,Female,69
22,99,65,Postgraduate,Female,71
22,61,76,College,Female,65
19,88,59,High School,Male,67
25,70,51,College,Female,65
25,62,71,High School,Male,65
10,76,76,Postgraduate,Male,80
28,97,88,High School,Male,74
10,60,72,High School,Male,59
26,84,64,High School,Male,69
27,80,80,High School,Male,66
13,95,69,Postgraduate,Female,66
18,63,62,High School,Female,65
13,87,96,College,Male,67
19,87,77,High School,Male,69
18,87,60,High School,Female,68
25,98,84,Postgraduate,Female,73
28,93,90,High School,Female,71
28,62,88,Postgraduate,Male,67
17,79,80,College,Female,67
19,76,76,Postgraduate,Male,66
10,72,89,College,Female,63
15,78,85,High School,Male,65
26,75,79,College,Male,67
30,77,83,College,Male,69
13,99,58,High School,Male,67
16,64,51,College,Male,66
20,97,97,High School,Female,74
22,79,97,College,Female,69
15,85,89,College,Female,66
23,93,69,Postgraduate,Male,69
17,74,58,College,Male,63
20,77,68,College,Female,65
23,76,86,College,Male,64
20,75,67,High School,Male,64
17,97,90,High School,Male,69
19,93,84,High School,Female,73
19,64,81,High School,Male,62
18,64,97,College,Male,62
18,77,95,Postgraduate,Female,68
30,64,86,Postgraduate,Female,66
23,85,60,College,Female,68
18,66,97,High School,Male,66
24,81,61,Postgraduate,Male,69
18,60,69,Postgraduate,Female,62
27,73,91,College,Female,68
22,87,60,College,Male,67
19,79,82,High School,Male,65
23,99,73,College,Male,69
11,95,81,High School,Male,67
13,74,98,Postgraduate,Female,64
13,62,90,Postgraduate,Female,62
21,94,65,High School,Male,71
30,96,53,High School,Male,72
33,93,98,High School,Female,74
24,65,79,Postgraduate,Male,66
23,100,59,High School,Female,72
9,70,81,Postgraduate,Female,65
17,89,52,College,Female,67
15,96,59,High School,Male,70
16,69,82,High School,Male,62
19,96,70,High School,Male,66
17,72,66,College,Male,65
8,99,83,Postgraduate,Male,70
24,71,93,College,Female,69
14,98,84,High School,Female,70
21,62,73,College,Female,66
32,88,83,Postgraduate,Male,73
14,81,85,Postgraduate,Female,69
5,79,89,College,Female,66
18,69,65,High School,Male,65
27,88,56,Postgraduate,Female,70
32,68,84,Postgraduate,Male,70
13,82,56,Postgraduate,Male,67
23,70,73,Postgraduate,Male,68
17,98,62,College,Female,68
19,61,67,College,Female,61
36,68,74,High School,Male,70
11,70,95,College,Male,65
22,77,84,High School,Male,66
23,69,59,Postgraduate,Male,67
27,80,94,High School,Male,69
21,95,75,College,Male,69
22,88,60,High School,Male,67
18,83,76,High School,Female,66
22,64,60,High School,Male,63
18,88,68,High School,Female,67
24,67,90,College,Male,64
18,91,83,High School,Male,68
22,70,74,,Male,65
20,77,61,High School,Male,65
27,74,64,High School,Male,65
20,94,99,College,Female,70
9,65,67,High School,Female,62
28,83,81,High School,Male,68
15,66,75,College,Male,62
16,88,51,College,Female,68
16,96,97,College,Male,72
28,77,54,Postgraduate,Female,70
7,80,83,High School,Female,62
39,97,91,High School,Female,79
26,81,87,Postgraduate,Male,73
21,80,90,College,Male,68
20,83,87,High School,Male,68
22,88,72,High School,Female,69
23,64,95,College,Female,63
24,93,96,Postgraduate,Female,74
23,77,72,College,Female,69
21,63,74,High School,Female,61
19,91,74,Postgraduate,Female,69
19,75,64,High School,Female,64
19,64,56,Postgraduate,Female,63
27,85,63,College,Male,68
24,95,92,High School,Male,72
2,96,77,High School,Female,65
24,98,93,College,Male,69
21,95,87,High School,Male,70
20,60,67,Postgraduate,Female,63
18,75,59,High School,Female,62
27,93,78,Postgraduate,Female,72
26,75,97,High School,Male,69
15,84,92,High School,Female,66
22,84,88,Postgraduate,Male,71
14,75,88,College,Female,62
12,96,76,High School,Male,68
16,80,58,High School,Female,63
25,79,64,College,Female,66
26,100,79,College,Male,75
23,80,66,College,Female,69
24,67,89,High School,Female,68
23,81,69,High School,Male,69
16,93,56,High School,Male,67
23,91,89,Postgraduate,Male,73
25,92,85,College,Male,71
25,88,63,High School,Female,71
27,70,99,High School,Female,68
24,94,70,High School,Male,70
22,96,84,High School,Male,71
26,68,96,High School,Male,69
20,65,58,High School,Male,63
15,99,94,Postgraduate,Male,71
19,95,85,College,Male,69
16,96,58,Postgraduate,Male,71
16,95,83,High School,Female,68
19,82,94,High School,Female,68
15,86,90,Postgraduate,Male,66
18,82,88,College,Female,67
9,62,58,College,Female,59
21,90,60,College,Female,66
20,80,77,High School,Male,64
15,86,79,High School,Female,64
24,80,97,High School,Female,69
26,80,73,High School,Male,69
10,67,65,High School,Male,61
15,71,60,High School,Female,62
15,66,53,College,Female,61
14,68,53,College,Female,63
25,99,79,College,Female,71
19,66,59,Postgraduate,Female,65
18,71,93,College,Male,68
8,84,80,High School,Male,67
24,84,93,High School,Female,70
13,66,71,High School,Male,64
20,92,80,College,Male,71
22,91,76,College,Female,71
28,69,99,High School,Female,67
12,72,90,Postgraduate,Male,63
2,98,80,High School,Male,66
21,93,80,High School,Male,70
31,88,62,High School,Male,70
27,63,87,High School,Female,67
21,77,99,Postgraduate,Male,69
17,82,56,High School,Female,66
25,67,82,Postgraduate,Female,67
14,78,76,College,Female,65
23,84,93,Postgraduate,Male,72
23,73,50,College,Male,68
26,91,57,College,Male,72
37,94,52,Postgraduate,Male,76
22,73,58,College,Female,65
17,94,85,High School,Male,68
20,64,57,College,Female,65
9,94,81,High School,Male,66
16,66,93,High School,Male,63
18,63,52,Postgraduate,Female,63
17,86,51,Postgraduate,Male,66
21,79,99,High School,Male,69
15,96,84,Postgraduate,Male,72
27,75,57,High School,Male,66
20,71,65,High School,Female,64
20,80,99,High School,Male,67
18,78,61,High School,Male,67
21,74,88,College,Male,66
25,88,62,High School,Female,68
15,90,70,High School,Male,65
16,94,94,High School,Male,71
18,99,51,Postgraduate,Male,71
12,71,65,High School,Male,62
15,89,74,College,Male,69
17,76,81,High School,Male,65
25,87,51,Postgraduate,Male,70
22,79,71,College,Male,66
21,100,67,High School,Male,70
25,89,51,Postgraduate,Female,70
19,98,68,High School,Female,69
22,93,97,High School,Male,71
19,96,64,High School,Male,69
22,93,79,Postgraduate,Female,73
17,78,65,High School,Female,65
5,70,55,High School,Male,62
19,75,64,Postgraduate,Female,67
29,61,74,Postgraduate,Male,65
26,81,65,High School,Male,65
26,80,81,College,Female,70
27,81,97,College,Female,70
21,99,53,Postgraduate,Female,71
21,96,86,College,Male,71
16,66,50,High School,Male,62
18,75,50,Postgraduate,Female,65
24,77,57,College,Male,84
27,74,74,College,Male,68
19,92,52,High School,Male,70
17,81,86,Postgraduate,Male,68
20,83,51,Postgraduate,Male,67
24,94,75,High School,Female,69
11,92,84,High School,Female,68
6,65,62,High School,Male,59
17,89,79,College,Female,67
13,77,63,High School,Male,63
17,72,61,High School,Female,65
19,62,91,College,Male,63
17,79,67,High School,Female,64
29,74,91,College,Female,72
22,70,61,College,Male,63
22,88,68,High School,Male,66
24,91,55,College,Female,67
13,70,75,Postgraduate,Male,66
26,62,69,College,Female,66
20,94,50,Postgraduate,Female,68
24,60,73,Postgraduate,Male,66
14,97,54,College,Female,68
11,85,92,High School,Female,65
25,73,75,College,Female,67
22,70,85,High School,Male,64
15,60,91,College,Male,59
15,69,53,High School,Male,60
27,66,67,College,Female,65
13,84,51,High School,Female,64
30,67,52,High School,Female,66
15,81,52,Postgraduate,Male,65
24,84,74,High School,Male,69
18,72,73,High School,Female,66
24,61,53,College,Female,65
17,61,63,College,Female,62
19,61,62,High School,Female,60
20,90,65,College,Female,68
14,73,82,High School,Female,64
24,92,85,College,Female,73
17,77,67,College,Male,64
19,78,89,,Female,69
14,81,71,Postgraduate,Female,63
5,89,76,College,Male,65
19,71,57,High School,Male,65
34,65,62,High School,Male,67
25,82,86,High School,Male,67
20,73,99,High School,Male,66
18,78,85,Postgraduate,Male,68
20,86,53,High School,Male,65
23,80,57,Postgraduate,Male,66
13,85,72,College,Female,66
27,82,87,High School,Male,69
24,90,58,Postgraduate,Male,70
24,88,88,Postgraduate,Male,71
23,81,78,High School,Male,70
20,87,89,High School,Male,68
24,95,78,Postgraduate,Female,73
24,77,80,High School,Female,68
18,77,62,College,Male,66
17,91,86,Postgraduate,Female,67
21,83,92,High School,Male,66
29,63,94,Postgraduate,Female,69
13,96,51,Postgraduate,Female,67
11,61,81,High School,Male,61
21,90,99,College,Female,70
20,90,79,High School,Female,70
21,98,59,College,Female,70
21,62,94,College,Female,64
19,84,63,College,Female,65
29,77,52,College,Female,70
10,73,72,College,Female,62
15,64,55,College,Female,64
19,83,56,College,Female,67
10,79,73,High School,Female,63
19,64,81,High School,Male,62
30,84,95,College,Male,72
20,90,85,College,Male,69
21,91,92,High School,Male,72
12,96,71,College,Male,68
16,76,66,Postgraduate,Female,64
18,98,80,College,Female,72
18,95,85,College,Female,73
28,72,78,College,Male,67
23,66,63,College,Female,64
13,77,68,High School,Female,65
21,76,72,High School,Female,67
23,83,51,College,Male,68
27,83,94,High School,Male,72
29,90,76,High School,Female,71
14,80,88,High School,Male,66
15,64,59,High School,Female,59
12,94,78,High School,Female,68
19,72,96,High School,Female,64
23,99,61,High School,Female,70
26,65,67,High School,Female,65
20,98,69,College,Female,72
18,64,69,College,Male,66
21,69,80,College,Male,68
15,62,70,College,Male,62
33,88,84,High School,Male,70
10,94,74,College,Male,70
21,77,58,College,Male,64
32,97,97,College,Female,76
20,84,62,College,Male,67
19,85,78,College,Male,69
18,94,53,High School,Female,68
19,72,96,Postgraduate,Female,67
28,74,96,High School,Female,69
7,96,68,High School,Female,67
29,96,56,High School,Male,73
11,99,88,College,Male,71
18,96,63,Postgraduate,Male,70
17,65,85,,Male,65
24,93,96,Postgraduate,Male,73
10,76,80,Postgraduate,Female,65
23,100,93,Postgraduate,Male,73
32,79,61,College,Male,70
12,82,96,College,Male,66
21,81,61,High School,Female,66
16,73,61,High School,Male,64
23,63,94,Postgraduate,Male,68
20,96,78,High School,Male,70
16,92,90,High School,Male,72
23,66,90,High School,Male,66
31,91,82,High School,Male,74
19,85,59,College,Male,67
24,76,85,Postgraduate,Female,71
12,70,53,High School,Male,60
14,94,60,College,Female,68
23,88,82,College,Male,69
29,82,95,College,Male,74
22,84,89,High School,Male,71
18,64,67,College,Male,63
20,79,91,College,Male,66
12,68,98,High School,Male,65
24,68,67,High School,Female,60
25,86,59,High School,Female,69
17,96,60,College,Female,69
17,76,70,Postgraduate,Male,67
22,68,53,High School,Female,65
17,86,74,College,Male,70
20,95,87,Postgraduate,Female,71
33,90,77,Postgraduate,Male,73
19,95,99,Postgraduate,Male,70
18,81,73,High School,Female,67
16,90,51,High School,Female,67
24,66,74,College,Male,65
19,74,96,College,Male,69
16,76,55,Postgraduate,Male,65
28,80,61,College,Female,68
29,97,86,College,Female,74
16,95,65,College,Female,68
9,65,88,College,Male,61
26,67,71,Postgraduate,Male,67
16,74,90,High School,Female,66
25,72,78,High School,Male,69
8,85,54,High School,Male,62
25,96,69,High School,Male,71
13,98,67,Postgraduate,Female,71
24,86,91,College,Female,72
20,94,81,High School,Female,69
14,81,89,College,Female,67
18,68,69,High School,Female,63
24,81,85,College,Male,68
21,82,53,Postgraduate,Male,69
24,90,52,College,Female,65
32,69,64,Postgraduate,Female,70
11,75,89,College,Male,65
30,75,77,High School,Male,67
21,98,70,College,Male,72
15,78,95,High School,Male,69
12,90,75,Postgraduate,Male,69
19,90,81,College,Female,71
26,71,99,High School,Male,67
19,83,76,Postgraduate,Female,65
29,96,89,High School,Female,70
11,79,71,College,Female,63
20,98,52,College,Male,71
12,69,92,College,Female,64
22,63,97,High School,Male,69
25,96,72,High School,Male,69
17,94,75,Postgraduate,Male,70
4,100,71,High School,Female,64
21,87,100,High School,Male,70
23,97,95,Postgraduate,Female,74
22,93,52,College,Female,69
27,94,89,College,Female,73
14,83,80,College,Female,66
24,75,51,High School,Male,67
27,97,72,College,Female,76
9,77,57,High School,Male,61
22,82,94,High School,Female,68
17,78,51,High School,Male,63
20,83,94,High School,Male,67
22,79,97,High School,Male,66
17,62,54,College,Male,62
16,95,86,High School,Male,69
20,78,77,High School,Male,67
13,84,98,College,Female,66
13,66,90,High School,Male,63
24,60,85,Postgraduate,Male,64
13,70,96,Postgraduate,Male,64
24,88,58,High School,Male,67
23,64,69,High School,Male,66
10,96,92,High School,Female,68
16,69,55,High School,Male,62
27,68,97,College,Male,68
14,67,87,High School,Male,63
17,61,72,High School,Male,62
23,91,67,College,Male,72
25,95,57,High School,Female,69
18,85,55,High School,Male,67
16,68,71,High School,Male,65
29,71,92,High School,Female,69
30,79,77,High School,Male,72
26,98,73,High School,Female,70
21,70,66,College,Male,91
15,89,58,High School,Male,65
15,78,100,High School,Female,62
23,72,51,College,Male,65
23,78,66,College,Female,67
28,63,88,High School,Male,67
24,92,76,High School,Female,72
11,70,66,High School,Female,60
26,89,100,High School,Female,69
14,63,81,High School,Female,61
18,98,65,Postgraduate,Female,70
22,68,92,High School,Male,68
32,95,58,High School,Male,75
39,92,73,Postgraduate,Male,75
24,99,92,High School,Male,72
19,79,99,College,Female,66
23,89,69,High School,Male,71
25,75,57,College,Male,70
18,67,78,High School,Female,63
31,78,97,High School,Male,72
21,67,83,High School,Male,65
23,99,80,High School,Male,71
24,64,65,College,Female,65
23,84,80,College,Female,69
25,85,94,High School,Male,71
16,82,69,College,Male,68
17,86,62,High School,Female,66
13,65,74,High School,Male,60
23,82,69,High School,Female,68
25,71,73,High School,Female,67
23,98,55,High School,Male,71
30,90,67,High School,Male,74
20,99,91,High School,Male,70
24,62,70,College,Female,63
13,71,98,College,Male,64
18,68,85,High School,Male,66
24,60,68,Postgraduate,Female,64
25,70,63,College,Male,69
18,87,84,Postgraduate,Male,71
20,69,65,High School,Female,64
11,80,96,High School,Male,65
18,96,56,College,Female,69
25,88,51,High School,Female,68
23,76,61,High School,Male,68
23,75,80,High School,Female,68
20,78,92,High School,Male,65
20,67,59,College,Female,65
16,85,79,College,Male,66
24,75,57,Postgraduate,Male,66
23,94,78,High School,Male,71
23,90,51,High School,Male,68
17,84,78,College,Female,65
7,75,76,College,Female,63
27,68,52,Postgraduate,Female,66
17,91,84,College,Male,71
15,79,79,College,Male,65
24,69,81,High School,Female,68
18,68,76,Postgraduate,Male,66
26,67,86,High School,Female,64
24,91,76,College,Female,70
24,69,96,College,Male,70
12,81,97,High School,Female,66
27,78,86,High School,Female,70
22,83,96,College,Female,71
18,95,96,High School,Male,70
21,95,63,Postgraduate,Male,70
9,78,100,High School,Male,66
22,61,63,Postgraduate,Male,64
14,77,51,College,Male,66
12,84,98,High School,Female,68
11,82,61,High School,Female,61
27,86,79,College,Male,72
16,66,99,High School,Male,66
29,86,52,College,Female,68
17,67,63,College,Male,61
10,90,80,High School,Female,67
13,74,88,College,Female,66
27,88,90,Postgraduate,Female,74
19,62,94,Postgraduate,Female,66
17,76,58,Postgraduate,Female,67
21,88,69,College,Male,71
23,69,86,College,Male,66
27,92,86,High School,Male,71
29,85,65,Postgraduate,Male,72
18,84,65,High School,Female,66
12,74,66,High School,Male,62
18,79,95,High School,Female,66
22,84,95,High School,Male,69
14,79,51,,Male,64
14,88,66,High School,Female,69
22,77,70,Postgraduate,Male,69
20,68,99,College,Female,64
20,69,97,College,Female,68
15,60,81,High School,Male,63
19,72,52,High School,Male,64
14,90,60,Postgraduate,Male,69
25,92,72,High School,Female,71
26,68,98,College,Female,67
9,98,55,High School,Male,67
14,80,90,College,Female,66
11,97,60,High School,Male,67
16,88,75,Postgraduate,Female,68
19,89,88,High School,Female,69
11,63,85,High School,Female,62
14,69,89,High School,Female,66
14,60,91,Postgraduate,Male,63
21,89,65,College,Female,67
20,74,68,High School,Male,68
16,91,91,High School,Female,66
21,74,52,High School,Male,66
17,93,76,High School,Female,67
18,65,96,High School,Female,66
30,67,94,College,Female,69
28,74,90,Postgraduate,Male,72
12,76,51,High School,Female,60
25,74,94,High School,Female,68
25,91,96,High School,Female,72
13,64,83,High School,Male,64
25,74,65,High School,Male,65
29,93,74,High School,Male,76
13,63,88,High School,Male,59
14,98,91,High School,Male,67
26,99,67,High School,Male,73
22,64,66,College,Male,64
23,72,87,High School,Male,67
22,75,84,College,Male,69
22,91,76,College,Female,69
12,84,71,College,Male,67
26,86,83,High School,Male,72
27,90,52,College,Male,86
19,65,54,High School,Female,62
20,93,79,Postgraduate,Female,69
11,88,61,Postgraduate,Male,68
23,83,89,High School,Male,99
23,96,89,College,Female,70
20,88,85,High School,Male,68
27,68,95,High School,Male,67
18,77,57,Postgraduate,Male,66
23,80,63,High School,Male,66
14,62,63,College,Female,62
20,98,89,College,Male,72
19,65,76,Postgraduate,Female,64
21,88,63,High School,Female,68
18,80,57,Postgraduate,Female,66
19,61,95,College,Male,68
25,97,85,Postgraduate,Male,75
17,94,76,College,Male,67
10,81,98,College,Male,65
30,69,92,High School,Female,68
28,65,59,High School,Male,67
12,75,75,College,Female,63
24,70,74,High School,Male,67
17,80,92,Postgraduate,Female,67
22,99,57,College,Female,73
22,83,73,High School,Male,67
19,96,82,Postgraduate,Male,71
15,86,97,High School,Male,67
16,79,95,College,Male,68
15,94,77,College,Male,68
15,79,80,High School,Male,66
20,95,93,High School,Male,68
16,72,87,High School,Female,63
24,65,94,Postgraduate,Male,68
29,94,95,High School,Male,74
17,83,92,,Male,65
21,96,50,Postgraduate,Male,69
23,98,66,High School,Male,70
23,62,70,College,Female,65
20,80,84,College,Male,68
24,75,65,College,Male,65
23,85,66,College,Male,68
13,92,70,High School,Male,68
25,71,98,Postgraduate,Male,66
25,82,72,College,Female,70
15,88,57,High School,Male,66
20,65,50,High School,Male,64
24,93,62,College,Female,70
19,84,97,High School,Male,68
26,98,98,College,Male,74
34,74,76,College,Female,71
15,64,82,High School,Male,61
12,80,90,High School,Female,64
22,63,53,Postgraduate,Male,64
24,99,69,High School,Male,73
19,62,82,College,Male,62
29,90,95,High School,Male,71
12,81,86,Postgraduate,Male,68
24,75,68,Postgraduate,Male,67
16,63,95,College,Female,63
30,85,83,College,Female,71
32,83,92,High School,Male,72
15,71,69,Postgraduate,Female,66
17,96,50,High School,Female,67
25,72,58,College,Female,66
18,78,96,College,Male,68
20,82,52,College,Female,64
20,64,80,High School,Male,65
8,97,70,High School,Male,66
20,75,71,College,Male,69
16,63,70,College,Female,64
17,75,53,College,Female,65
29,84,56,Postgraduate,Female,72
12,81,53,College,Male,65
25,88,53,College,Female,70
18,62,54,Postgraduate,Male,64
18,71,85,High School,Male,62
25,93,56,High School,Male,69
22,63,63,Postgraduate,Male,62
23,94,83,High School,Female,69
26,64,56,High School,Male,66
18,93,96,High School,Female,71
16,74,74,High School,Male,66
13,84,98,High School,Male,64
15,66,60,High School,Female,63
38,63,52,College,Male,69
27,69,80,High School,Female,68
12,65,66,High School,Female,63
12,72,79,College,Male,64
23,81,74,Postgraduate,Female,66
23,84,73,High School,Male,71
23,92,93,High School,Female,72
18,86,60,College,Male,88
19,84,75,College,Male,66
22,76,71,High School,Male,65
21,79,84,High School,Male,66
7,77,53,College,Female,62
19,94,76,High School,Female,68
15,69,74,Postgraduate,Female,65
21,60,99,High School,Male,62
38,86,88,High School,Female,74
22,68,58,Postgraduate,Male,64
18,96,75,,Male,72
26,94,89,High School,Female,70
23,63,76,High School,Male,65
23,64,68,High School,Female,66
24,80,69,College,Male,67
32,84,68,High School,Male,73
13,71,51,College,Female,65
23,89,87,College,Female,74
14,84,81,College,Female,66
23,73,63,High School,Male,67
14,61,82,High School,Female,58
17,90,65,Postgraduate,Male,71
18,69,62,High School,Male,63
26,93,87,College,Female,73
26,77,90,High School,Female,68
13,83,81,College,Female,66
20,95,89,High School,Male,68
16,95,68,High School,Female,66
12,75,54,High School,Female,62
19,68,80,High School,Male,78
18,91,63,College,Male,68
35,77,89,College,Female,77
23,68,68,College,Male,65
12,96,84,Postgraduate,Female,73
17,68,78,College,Male,64
26,61,91,College,Female,67
33,61,92,High School,Female,69
10,85,53,High School,Male,60
9,86,65,College,Female,66
31,72,94,High School,Male,70
22,73,70,College,Male,66
15,74,76,High School,Male,64
23,87,59,College,Male,70
4,62,78,High School,Female,58
20,97,63,College,Female,69
22,69,91,High School,Male,64
26,100,60,High School,Male,72
14,67,68,High School,Male,60
21,91,55,High School,Female,70
14,69,79,Postgraduate,Female,62
22,63,97,High School,Female,66
15,95,59,High School,Female,66
18,94,51,College,Male,65
14,76,71,High School,Male,64
24,88,87,High School,Female,72
